,pos,smote,pos-smote
P_86038_AVG_CLAIM_CNT,0.0,0.0,0.0
P_84484_AVG_CLAIM_CNT,0.0,0.0,0.0
P_A4550_AVG_CLAIM_CNT,0.0,0.0,0.0
P_1101F_AVG_CLAIM_CNT,0.0,0.0,0.0
P_95886_AVG_CLAIM_CNT,0.0,0.0,0.0
P_82550_AVG_CLAIM_CNT,0.0,0.0,0.0
P_98941_AVG_CLAIM_CNT,0.0,0.0,0.0
P_36620_AVG_CLAIM_CNT,0.0,0.0,0.0
P_74230_AVG_CLAIM_CNT,0.0,0.0,0.0
P_83891_AVG_CLAIM_CNT,0.0,0.0,0.0
P_83912_AVG_CLAIM_CNT,0.0,0.0,0.0
P_95913_AVG_CLAIM_CNT,0.0,0.0,0.0
P_90862_AVG_CLAIM_CNT,0.0,0.0,0.0
P_74176_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99053_AVG_CLAIM_CNT,0.0,0.0,0.0
P_74177_AVG_CLAIM_CNT,0.0,0.0,0.0
P_84480_AVG_CLAIM_CNT,0.0,0.0,0.0
P_76705_AVG_CLAIM_CNT,0.0,0.0,0.0
P_93272_AVG_CLAIM_CNT,0.0,0.0,0.0
P_E0973_AVG_CLAIM_CNT,0.0,0.0,0.0
P_59025_AVG_CLAIM_CNT,0.0,0.0,0.0
P_99354_AVG_CLAIM_CNT,0.0,0.0,0.0
P_83909_AVG_CLAIM_CNT,0.0,0.0,0.0
P_95810_AVG_CLAIM_CNT,0.0,0.0,0.0
P_95885_AVG_CLAIM_CNT,0.0,0.0,0.0
P_95911_AVG_CLAIM_CNT,0.0,0.0,0.0
P_83519_AVG_CLAIM_CNT,0.0,0.0,0.0
P_76857_AVG_CLAIM_CNT,0.0,0.0,0.0
P_72157_AVG_CLAIM_CNT,0.0,0.0,0.0
P_62270_AVG_CLAIM_CNT,0.0,0.0,0.0
P_95908_AVG_CLAIM_CNT,0.0,0.0,0.0
P_96110_AVG_CLAIM_CNT,0.0,0.0,0.0
P_L2275_AVG_CLAIM_CNT,0.0,0.0,0.0
S_S21_AVG_CLAIM,0.0,0.0,0.0
S_S22_AVG_CLAIM,0.0,0.0,0.0
S_S45_AVG_CLAIM,0.0,0.0,0.0
S_S05_AVG_CLAIM,0.0,0.0,0.0
S_S24_AVG_CLAIM,0.0,0.0,0.0
S_S37_AVG_CLAIM,0.0,0.0,0.0
S_S53_AVG_CLAIM,0.0,0.0,0.0
S_S04_AVG_CLAIM,0.0,0.0,0.0
S_S08_AVG_CLAIM,0.0,0.0,0.0
S_S23_AVG_CLAIM,0.0,0.0,0.0
S_S44_AVG_CLAIM,0.0,0.0,0.0
S_S48_AVG_CLAIM,0.0,0.0,0.0
S_S51_AVG_CLAIM,0.0,0.0,0.0
S_S75_AVG_CLAIM,0.0,0.0,0.0
S_S67_AVG_CLAIM,0.0,0.0,0.0
S_S34_AVG_CLAIM,0.0,0.0,0.0
S_S66_AVG_CLAIM,0.0,0.0,0.0
S_S73_AVG_CLAIM,0.0,0.0,0.0
S_S76_AVG_CLAIM,0.0,0.0,0.0
S_S38_AVG_CLAIM,0.0,0.0,0.0
S_S49_AVG_CLAIM,0.0,0.0,0.0
S_S65_AVG_CLAIM,0.0,0.0,0.0
S_S70_AVG_CLAIM,0.0,0.0,0.0
S_S19_AVG_CLAIM,0.0,0.0,0.0
S_S69_AVG_CLAIM,0.0,0.0,0.0
S_S25_AVG_CLAIM,0.0,0.0,0.0
S_S55_AVG_CLAIM,0.0,0.0,0.0
S_S82_AVG_CLAIM,0.0,0.0,0.0
S_S26_AVG_CLAIM,0.0,0.0,0.0
S_S39_AVG_CLAIM,0.0,0.0,0.0
S_S52_AVG_CLAIM,0.0,0.0,0.0
S_S64_AVG_CLAIM,0.0,0.0,0.0
S_S83_AVG_CLAIM,0.0,0.0,0.0
S_S02_AVG_CLAIM,0.0,0.0,0.0
S_S42_AVG_CLAIM,0.0,0.0,0.0
S_S30_AVG_CLAIM,0.0,0.0,0.0
S_S12_AVG_CLAIM,0.0,0.0,0.0
S_S29_AVG_CLAIM,0.0,0.0,0.0
S_S57_AVG_CLAIM,0.0,0.0,0.0
S_S14_AVG_CLAIM,0.0,0.0,0.0
S_S59_AVG_CLAIM,0.0,0.0,0.0
S_S11_AVG_CLAIM,0.0,0.0,0.0
