,pos,smote,pos-smote
D_7873_AVG_CLAIM_CNT,0.954,0.9586666666666667,-0.004666666666666708
D_4349_AVG_CLAIM_CNT,0.934,0.9428888888888889,-0.008888888888888835
D_4371_AVG_CLAIM_CNT,0.975,0.9783333333333334,-0.0033333333333334103
D_3579_AVG_CLAIM_CNT,0.992,0.9936666666666667,-0.0016666666666667052
D_3331_AVG_CLAIM_CNT,0.975,0.9804444444444445,-0.005444444444444474
D_V270_AVG_CLAIM_CNT,0.984,0.9855555555555555,-0.0015555555555555323
D_4107_AVG_CLAIM_CNT,0.983,0.9876666666666667,-0.004666666666666708
D_3441_AVG_CLAIM_CNT,0.969,0.9243333333333333,0.04466666666666663
D_3599_AVG_CLAIM_CNT,0.954,0.9551111111111111,-0.0011111111111111738
D_3332_AVG_CLAIM_CNT,0.989,0.9908888888888889,-0.00188888888888894
D_3591_AVG_CLAIM_CNT,0.989,0.9897777777777778,-0.0007777777777777661
D_3592_AVG_CLAIM_CNT,0.995,0.9952222222222222,-0.00022222222222223476
D_3590_AVG_CLAIM_CNT,0.993,0.9934444444444445,-0.0004444444444444695
G_012000_AVG_CLAIM_CNT,0.587,0.5882222222222222,-0.0012222222222222356
G_034000_AVG_CLAIM_CNT,0.492,0.48055555555555557,0.011444444444444424
G_040000_AVG_CLAIM_CNT,0.766,0.7476666666666667,0.018333333333333313
G_050000_AVG_CLAIM_CNT,0.563,0.576,-0.013000000000000012
G_160000_AVG_CLAIM_CNT,0.838,0.8581111111111112,-0.02011111111111119
G_221000_AVG_CLAIM_CNT,0.504,0.43033333333333335,0.07366666666666666
G_272500_AVG_CLAIM_CNT,0.879,0.8667777777777778,0.012222222222222245
G_340000_AVG_CLAIM_CNT,0.747,0.7181111111111111,0.028888888888888853
G_394000_AVG_CLAIM_CNT,0.694,0.6885555555555556,0.005444444444444363
G_442010_AVG_CLAIM_CNT,0.665,0.6457777777777778,0.01922222222222225
G_469920_AVG_CLAIM_CNT,0.847,0.86,-0.013000000000000012
G_492700_AVG_CLAIM_CNT,0.588,0.5875555555555556,0.0004444444444443585
G_530000_AVG_CLAIM_CNT,0.846,0.852,-0.006000000000000005
G_581800_AVG_CLAIM_CNT,0.829,0.829,0.0
G_651000_AVG_CLAIM_CNT,0.604,0.6075555555555555,-0.003555555555555534
G_659900_AVG_CLAIM_CNT,0.679,0.6933333333333334,-0.014333333333333309
G_659917_AVG_CLAIM_CNT,0.41,0.3418888888888889,0.06811111111111107
G_721000_AVG_CLAIM_CNT,0.86,0.8608888888888889,-0.000888888888888939
G_726000_AVG_CLAIM_CNT,0.595,0.5822222222222222,0.012777777777777777
G_751000_AVG_CLAIM_CNT,0.561,0.487,0.07400000000000007
G_879910_AVG_CLAIM_CNT,0.922,0.9325555555555556,-0.01055555555555554
G_021000_AVG_CLAIM_CNT,0.674,0.6737777777777778,0.00022222222222223476
G_661000_AVG_CLAIM_CNT,0.453,0.40255555555555556,0.05044444444444446
G_283000_AVG_CLAIM_CNT,0.956,0.9502222222222222,0.005777777777777771
G_372000_AVG_CLAIM_CNT,0.814,0.8111111111111111,0.0028888888888888298
G_375000_AVG_CLAIM_CNT,0.85,0.817,0.03300000000000003
G_114070_AVG_CLAIM_CNT,0.831,0.8431111111111111,-0.012111111111111184
G_171000_AVG_CLAIM_CNT,0.794,0.8022222222222222,-0.00822222222222213
G_369918_AVG_CLAIM_CNT,0.959,0.9354444444444444,0.023555555555555552
G_019900_AVG_CLAIM_CNT,0.705,0.7243333333333334,-0.019333333333333425
G_169900_AVG_CLAIM_CNT,0.723,0.7315555555555555,-0.008555555555555538
G_361000_AVG_CLAIM_CNT,0.753,0.7105555555555556,0.042444444444444396
G_568510_AVG_CLAIM_CNT,0.981,0.983,-0.0020000000000000018
G_905500_AVG_CLAIM_CNT,0.736,0.7266666666666667,0.009333333333333305
G_332000_AVG_CLAIM_CNT,0.743,0.7212222222222222,0.021777777777777785
G_571000_AVG_CLAIM_CNT,0.621,0.6132222222222222,0.007777777777777772
G_581600_AVG_CLAIM_CNT,0.602,0.5721111111111111,0.029888888888888854
G_797000_AVG_CLAIM_CNT,0.448,0.30233333333333334,0.14566666666666667
G_035000_AVG_CLAIM_CNT,0.928,0.9392222222222222,-0.011222222222222134
G_422000_AVG_CLAIM_CNT,0.698,0.6757777777777778,0.022222222222222143
G_439970_AVG_CLAIM_CNT,0.878,0.8888888888888888,-0.010888888888888837
G_414000_AVG_CLAIM_CNT,0.786,0.7923333333333333,-0.006333333333333302
G_445050_AVG_CLAIM_CNT,0.905,0.9083333333333333,-0.0033333333333332993
G_502500_AVG_CLAIM_CNT,0.743,0.7558888888888889,-0.01288888888888895
G_674060_AVG_CLAIM_CNT,0.907,0.8948888888888888,0.012111111111111184
G_614000_AVG_CLAIM_CNT,0.936,0.9372222222222222,-0.0012222222222221246
G_491030_AVG_CLAIM_CNT,0.923,0.9218888888888889,0.0011111111111111738
G_259900_AVG_CLAIM_CNT,0.928,0.9166666666666666,0.011333333333333417
G_300420_AVG_CLAIM_CNT,0.959,0.9624444444444444,-0.003444444444444472
G_879920_AVG_CLAIM_CNT,0.973,0.9757777777777777,-0.002777777777777768
G_722000_AVG_CLAIM_CNT,0.984,0.9845555555555555,-0.0005555555555555314
G_423000_AVG_CLAIM_CNT,0.989,0.9898888888888889,-0.000888888888888939
G_371000_AVG_CLAIM_CNT,0.83,0.797,0.03299999999999992
G_352000_AVG_CLAIM_CNT,0.996,0.9961111111111111,-0.00011111111111106187
P_70450_AVG_CLAIM_CNT,0.747,0.7653333333333333,-0.018333333333333313
P_71010_AVG_CLAIM_CNT,0.703,0.7308888888888889,-0.027888888888888963
P_72100_AVG_CLAIM_CNT,0.904,0.9143333333333333,-0.010333333333333306
P_93010_AVG_CLAIM_CNT,0.532,0.5114444444444445,0.02055555555555555
P_99284_AVG_CLAIM_CNT,0.7,0.6398888888888888,0.060111111111111115
P_99285_AVG_CLAIM_CNT,0.58,0.5614444444444444,0.018555555555555547
P_A0425_AVG_CLAIM_CNT,0.79,0.7601111111111111,0.029888888888888965
P_A0427_AVG_CLAIM_CNT,0.859,0.8366666666666667,0.022333333333333316
P_73610_AVG_CLAIM_CNT,0.926,0.9393333333333334,-0.013333333333333308
P_77052_AVG_CLAIM_CNT,0.887,0.8961111111111111,-0.00911111111111107
P_90471_AVG_CLAIM_CNT,0.759,0.7748888888888888,-0.01588888888888884
P_99203_AVG_CLAIM_CNT,0.544,0.574,-0.029999999999999916
P_99213_AVG_CLAIM_CNT,0.17,0.16377777777777777,0.00622222222222224
P_99214_AVG_CLAIM_CNT,0.235,0.24133333333333334,-0.0063333333333333575
P_99223_AVG_CLAIM_CNT,0.674,0.6333333333333333,0.04066666666666674
P_99239_AVG_CLAIM_CNT,0.854,0.8666666666666667,-0.012666666666666715
P_G0202_AVG_CLAIM_CNT,0.891,0.8971111111111111,-0.006111111111111067
P_36415_AVG_CLAIM_CNT,0.501,0.49144444444444446,0.00955555555555554
P_70551_AVG_CLAIM_CNT,0.891,0.9096666666666666,-0.01866666666666661
P_88313_AVG_CLAIM_CNT,0.962,0.9681111111111111,-0.006111111111111178
P_92012_AVG_CLAIM_CNT,0.95,0.9546666666666667,-0.004666666666666708
P_93000_AVG_CLAIM_CNT,0.695,0.713,-0.018000000000000016
P_93306_AVG_CLAIM_CNT,0.749,0.7805555555555556,-0.03155555555555556
P_94760_AVG_CLAIM_CNT,0.897,0.9094444444444445,-0.01244444444444448
P_99204_AVG_CLAIM_CNT,0.565,0.5864444444444444,-0.021444444444444488
P_99215_AVG_CLAIM_CNT,0.695,0.7158888888888889,-0.020888888888888957
P_99233_AVG_CLAIM_CNT,0.774,0.7761111111111111,-0.0021111111111110636
P_99283_AVG_CLAIM_CNT,0.791,0.7822222222222223,0.008777777777777773
P_G8553_AVG_CLAIM_CNT,0.863,0.8748888888888889,-0.011888888888888949
P_71020_AVG_CLAIM_CNT,0.655,0.6726666666666666,-0.01766666666666661
P_73130_AVG_CLAIM_CNT,0.932,0.9365555555555556,-0.004555555555555535
P_80053_AVG_CLAIM_CNT,0.666,0.6861111111111111,-0.02011111111111108
P_83735_AVG_CLAIM_CNT,0.88,0.8736666666666667,0.006333333333333302
P_85025_AVG_CLAIM_CNT,0.635,0.6551111111111111,-0.02011111111111108
P_94010_AVG_CLAIM_CNT,0.931,0.9428888888888889,-0.011888888888888838
P_97001_AVG_CLAIM_CNT,0.863,0.8845555555555555,-0.02155555555555555
P_97110_AVG_CLAIM_CNT,0.859,0.864,-0.0050000000000000044
P_99205_AVG_CLAIM_CNT,0.766,0.7884444444444444,-0.022444444444444378
P_G0008_AVG_CLAIM_CNT,0.9,0.9115555555555556,-0.011555555555555541
P_G8427_AVG_CLAIM_CNT,0.892,0.8908888888888888,0.0011111111111111738
P_G8978_AVG_CLAIM_CNT,0.989,0.9911111111111112,-0.0021111111111111747
P_G8979_AVG_CLAIM_CNT,0.989,0.9911111111111112,-0.0021111111111111747
P_93042_AVG_CLAIM_CNT,0.957,0.9597777777777777,-0.002777777777777768
P_97014_AVG_CLAIM_CNT,0.958,0.9586666666666667,-0.0006666666666667043
P_97140_AVG_CLAIM_CNT,0.887,0.8892222222222222,-0.0022222222222222365
P_99202_AVG_CLAIM_CNT,0.83,0.8453333333333334,-0.015333333333333421
P_99220_AVG_CLAIM_CNT,0.913,0.9236666666666666,-0.010666666666666602
P_99231_AVG_CLAIM_CNT,0.862,0.8741111111111111,-0.012111111111111073
P_99232_AVG_CLAIM_CNT,0.707,0.7226666666666667,-0.015666666666666718
P_99238_AVG_CLAIM_CNT,0.823,0.8387777777777777,-0.01577777777777778
P_99244_AVG_CLAIM_CNT,0.81,0.8266666666666667,-0.016666666666666607
P_99291_AVG_CLAIM_CNT,0.843,0.8255555555555556,0.017444444444444374
P_92015_AVG_CLAIM_CNT,0.898,0.9115555555555556,-0.013555555555555543
P_99396_AVG_CLAIM_CNT,0.872,0.8741111111111111,-0.0021111111111110636
P_80048_AVG_CLAIM_CNT,0.808,0.7496666666666667,0.05833333333333335
P_80061_AVG_CLAIM_CNT,0.738,0.7635555555555555,-0.025555555555555554
P_82607_AVG_CLAIM_CNT,0.878,0.8957777777777778,-0.01777777777777778
P_84443_AVG_CLAIM_CNT,0.722,0.746,-0.02400000000000002
P_90472_AVG_CLAIM_CNT,0.957,0.9642222222222222,-0.007222222222222241
P_90715_AVG_CLAIM_CNT,0.89,0.9014444444444445,-0.01144444444444448
P_96372_AVG_CLAIM_CNT,0.798,0.811,-0.013000000000000012
P_31575_AVG_CLAIM_CNT,0.976,0.9812222222222222,-0.005222222222222239
P_51798_AVG_CLAIM_CNT,0.955,0.9622222222222222,-0.007222222222222241
P_70553_AVG_CLAIM_CNT,0.896,0.9134444444444444,-0.017444444444444374
P_76700_AVG_CLAIM_CNT,0.92,0.9298888888888889,-0.009888888888888836
P_76942_AVG_CLAIM_CNT,0.945,0.9546666666666667,-0.009666666666666712
P_81003_AVG_CLAIM_CNT,0.782,0.7947777777777778,-0.012777777777777777
P_99212_AVG_CLAIM_CNT,0.653,0.67,-0.017000000000000015
P_99243_AVG_CLAIM_CNT,0.858,0.8701111111111111,-0.012111111111111073
P_99245_AVG_CLAIM_CNT,0.885,0.8942222222222223,-0.009222222222222243
P_72141_AVG_CLAIM_CNT,0.919,0.931,-0.01200000000000001
